iou,dice,accuracy,precision,recall,f1,threshold
0.17246823012828827,0.29419684410095215,0.17372265458106995,0.17246823012828827,1.0,0.2941965992735132,0.1
0.17529504001140594,0.298299640417099,0.18982422351837158,0.17529504001140594,1.0,0.2982993799752865,0.15000000000000002
0.1873820275068283,0.31562215089797974,0.25319239497184753,0.1873820275068283,1.0,0.31562187291876337,0.20000000000000004
0.20837770402431488,0.3448883593082428,0.34590429067611694,0.20838527381420135,0.9998255968093872,0.3448880710798468,0.25000000000000006
0.22965030372142792,0.3735213279724121,0.42353394627571106,0.22975945472717285,0.9979358315467834,0.37352103296618194,0.30000000000000004
0.24439823627471924,0.39279747009277344,0.46989721059799194,0.24465833604335785,0.995668888092041,0.39279714622400935,0.3500000000000001
0.25394943356513977,0.40503937005996704,0.4977036118507385,0.2544139325618744,0.992861807346344,0.40503902432440303,0.40000000000000013
0.27123600244522095,0.4267280101776123,0.5458391308784485,0.2726246416568756,0.981566846370697,0.4267276551383678,0.45000000000000007
0.31644225120544434,0.48075371980667114,0.7264123558998108,0.3570840656757355,0.7354708909988403,0.4807532911053378,0.5000000000000001
0.3198941648006439,0.48472699522972107,0.8063798546791077,0.4474017322063446,0.5288470387458801,0.4847265284914091,0.5500000000000002
0.27681270241737366,0.4335995614528656,0.8455590605735779,0.5884189605712891,0.343279093503952,0.4335990822399988,0.6000000000000002
0.1794046312570572,0.30422914028167725,0.8543235063552856,0.8569017052650452,0.18494553864002228,0.3042288516949077,0.6500000000000001
0.14467988908290863,0.25278663635253906,0.8511669635772705,0.9332120418548584,0.14619363844394684,0.2527863989144474,0.7000000000000002
0.12811869382858276,0.22713690996170044,0.848818838596344,0.9491691589355469,0.12900380790233612,0.22713669521303625,0.7500000000000002
0.1114344671368599,0.20052368938922882,0.8463684320449829,0.965345561504364,0.1118820309638977,0.20052349660645424,0.8000000000000002
0.09007200598716736,0.16525880992412567,0.8430849313735962,0.9847235083580017,0.09019804000854492,0.16525866080156365,0.8500000000000002
0.06344451755285263,0.1193189024925232,0.8387121558189392,0.9993523955345154,0.06344712525606155,0.11931879101312112,0.9000000000000002
0.011354501359164715,0.022454049438238144,0.8297485113143921,1.0,0.011354501359164715,0.022454025995617476,0.9500000000000003
