iou,dice,accuracy,precision,recall,f1,threshold,range,balanced_score
0.17246823012828827,0.29419684410095215,0.17372265458106995,0.17246823012828827,1.0,0.2941965992735132,0.1,coarse,0.29419685019425607
0.1873820275068283,0.31562215089797974,0.25319239497184753,0.1873820275068283,1.0,0.31562187291876337,0.2,coarse,0.31562213873201095
0.22965030372142792,0.3735213279724121,0.42353394627571106,0.22975945472717285,0.9979358315467834,0.37352103296618194,0.3,medium,0.37352133721189923
0.22965030372142792,0.3735213279724121,0.42353394627571106,0.22975945472717285,0.9979358315467834,0.37352103296618194,0.30000000000000004,coarse,0.37352133721189923
0.23666970431804657,0.38275331258773804,0.44605982303619385,0.23681925237178802,0.9973389506340027,0.38275299341474006,0.32,medium,0.382753303547584
0.24216634035110474,0.38990968465805054,0.46309056878089905,0.24238425493240356,0.9963011741638184,0.3899093622333002,0.34,medium,0.38990967701004103
0.24659371376037598,0.39562803506851196,0.47642162442207336,0.246891051530838,0.9951400756835938,0.3956277367108437,0.36000000000000004,medium,0.3956280552437114
0.25075310468673706,0.4009633958339691,0.48853418231010437,0.2511330246925354,0.9940030574798584,0.40096307138009274,0.38000000000000006,medium,0.40096339340358644
0.25394943356513977,0.40503937005996704,0.4977036118507385,0.2544139325618744,0.992861807346344,0.40503902432440303,0.4,coarse,0.40503934906336114
0.25394943356513977,0.40503937005996704,0.4977036118507385,0.2544139325618744,0.992861807346344,0.40503902432440303,0.4000000000000001,medium,0.40503934906336114
0.25676625967025757,0.4086141884326935,0.5056889653205872,0.2573219835758209,0.9916595816612244,0.40861388731492027,0.4200000000000001,medium,0.4086142144725811
0.2632758319377899,0.4168144762516022,0.5244020819664001,0.26419544219970703,0.9869513511657715,0.41681414463346467,0.4400000000000001,medium,0.4168144777791409
0.27994024753570557,0.4374270737171173,0.5697897672653198,0.2822800874710083,0.9712415933609009,0.4374267272889661,0.46000000000000013,medium,0.4374270762472122
0.3063453733921051,0.4690113067626953,0.6550154089927673,0.31907913088798523,0.8847438097000122,0.46901091819077184,0.48000000000000015,medium,0.4690113077920183
0.31644225120544434,0.48075371980667114,0.7264123558998108,0.3570840656757355,0.7354708909988403,0.4807532911053378,0.5,coarse,0.4807537311319819
0.31644225120544434,0.48075371980667114,0.7264123558998108,0.3570840656757355,0.7354708909988403,0.4807532911053378,0.5000000000000002,medium,0.4807537311319819
0.31957465410232544,0.48436009883880615,0.7485913038253784,0.37442606687545776,0.685680627822876,0.48435965872594017,0.51,fine,0.4843601156230252
0.3228834271430969,0.4881509840488434,0.7685722708702087,0.39422330260276794,0.640836775302887,0.4881504973607738,0.52,fine,0.4881509689763908
0.3228834271430969,0.4881509840488434,0.7685722708702087,0.39422330260276794,0.640836775302887,0.4881504973607738,0.5200000000000002,medium,0.4881509689763908
0.3241356909275055,0.48958078026771545,0.7839001417160034,0.41262292861938477,0.6018268465995789,0.48958029710625894,0.53,fine,0.48958077971299707
0.32389476895332336,0.48930591344833374,0.7904021143913269,0.4215168058872223,0.5830775499343872,0.48930544026232586,0.535,extra_fine,0.48930592733000394
0.32348304986953735,0.4888359606266022,0.7964807152748108,0.4307067394256592,0.5651037096977234,0.4888354646966783,0.54,fine,0.4888359555887604
0.32348304986953735,0.4888359606266022,0.7964807152748108,0.4307067394256592,0.5651037096977234,0.4888354646966783,0.5400000000000003,medium,0.4888359555887604
0.32187917828559875,0.487002432346344,0.8016157150268555,0.4389827847480774,0.5468180179595947,0.48700194220583953,0.545,extra_fine,0.48700243622242073
