iou,dice,accuracy,precision,recall,f1,specificity,threshold,range,balanced_score,youden_j
0.1722067892551422,0.29381638765335083,0.1722067892551422,0.1722067892551422,1.0,0.2938161490371393,0.0,0.01,very_low,0.2938163996892868,0.0
0.1722067892551422,0.29381638765335083,0.1722067892551422,0.1722067892551422,1.0,0.2938161490371393,0.0,0.02,very_low,0.2938163996892868,0.0
0.1722067892551422,0.29381638765335083,0.1722067892551422,0.1722067892551422,1.0,0.2938161490371393,0.0,0.03,very_low,0.2938163996892868,0.0
0.1722067892551422,0.29381638765335083,0.1722067892551422,0.1722067892551422,1.0,0.2938161490371393,0.0,0.04,very_low,0.2938163996892868,0.0
0.1722067892551422,0.29381638765335083,0.1722067892551422,0.1722067892551422,1.0,0.2938161490371393,0.0,0.05,very_low,0.2938163996892868,0.0
0.1722067892551422,0.29381638765335083,0.1722067892551422,0.1722067892551422,1.0,0.2938161490371393,0.0,0.060000000000000005,very_low,0.2938163996892868,0.0
0.1722067892551422,0.29381638765335083,0.1722067892551422,0.1722067892551422,1.0,0.2938161490371393,0.0,0.06999999999999999,very_low,0.2938163996892868,0.0
0.17223471403121948,0.29385703802108765,0.17236889898777008,0.17223471403121948,1.0,0.2938567934241124,0.000195833170437254,0.08,very_low,0.29385704410496144,0.000195833170437254
0.17231713235378265,0.2939769923686981,0.17284716665744781,0.17231713235378265,1.0,0.29397674163378157,0.0007736000115983188,0.09,very_low,0.29397699239932407,0.0007736000115983188
0.17246823012828827,0.29419684410095215,0.17372265458106995,0.17246823012828827,1.0,0.2941965992735132,0.0018312172032892704,0.1,low,0.29419685019425607,0.0018312172032892704
0.17300745844841003,0.2949810028076172,0.17683471739292145,0.17300745844841003,1.0,0.29498075176244615,0.005590683314949274,0.12000000000000001,low,0.29498100323633886,0.005590683314949274
0.17431241273880005,0.2968757152557373,0.18428637087345123,0.17431241273880005,1.0,0.2968754522393793,0.014592520892620087,0.14,low,0.2968757050472769,0.014592520892620087
0.17672385275363922,0.3003658950328827,0.19776684045791626,0.17672385275363922,1.0,0.3003656332065902,0.03087734803557396,0.16000000000000003,low,0.30036588846242823,0.03087734803557396
0.18101277947425842,0.3065382242202759,0.2208552211523056,0.18101277947425842,1.0,0.30653796360418134,0.058768827468156815,0.18000000000000002,low,0.3065382231593436,0.058768827468156815
0.1873820275068283,0.31562215089797974,0.25319239497184753,0.1873820275068283,1.0,0.31562187291876337,0.09783312678337097,0.2,low,0.31562213873201095,0.09783312678337097
0.19527362287044525,0.3267429769039154,0.29033252596855164,0.19527362287044525,1.0,0.3267426901467995,0.14269956946372986,0.22000000000000003,low,0.3267429635090522,0.14269956946372986
0.2039843052625656,0.3388487696647644,0.32804712653160095,0.20398777723312378,0.9999163746833801,0.3388484854740656,0.18827737867832184,0.24000000000000002,low,0.33884876693209104,0.18819375336170197
0.21275052428245544,0.3508561849594116,0.3630417585372925,0.21276938915252686,0.9995831847190857,0.35085590244210396,0.23062129318714142,0.26,low,0.35085619184298455,0.2302044779062271
0.22134087979793549,0.3624555468559265,0.3952341377735138,0.22142544388771057,0.998277485370636,0.3624552319934046,0.26978233456611633,0.28,low,0.36245552916021734,0.2680598199367523
0.22965030372142792,0.3735213279724121,0.42353394627571106,0.22975945472717285,0.9979358315467834,0.37352103296618194,0.30404043197631836,0.3,medium_low,0.37352133721189923,0.3019762635231018
0.2333296239376068,0.37837350368499756,0.4354912042617798,0.2334575057029724,0.9976579546928406,0.37837320048898887,0.318543016910553,0.31,medium_low,0.37837350783075546,0.31620097160339355
0.23666970431804657,0.38275331258773804,0.44605982303619385,0.23681925237178802,0.9973389506340027,0.38275299341474006,0.3313765823841095,0.32,medium_low,0.382753303547584,0.3287155330181122
0.2396416813135147,0.3866305649280548,0.45530980825424194,0.23982149362564087,0.9968810081481934,0.3866302504977554,0.34264612197875977,0.33,medium_low,0.3866305631277128,0.3395271301269531
0.24216634035110474,0.38990968465805054,0.46309056878089905,0.24238425493240356,0.9963011741638184,0.3899093622333002,0.35216614603996277,0.34,medium_low,0.38990967701004103,0.34846732020378113
0.24439823627471924,0.39279747009277344,0.46989721059799194,0.24465833604335785,0.995668888092041,0.39279714622400935,0.3605203330516815,0.35000000000000003,medium_low,0.3927974629123304,0.35618922114372253
0.24659371376037598,0.39562803506851196,0.47642162442207336,0.246891051530838,0.9951400756835938,0.3956277367108437,0.36851203441619873,0.36000000000000004,medium_low,0.3956280552437114,0.3636521100997925
0.24875952303409576,0.3984106183052063,0.48277148604393005,0.24909818172454834,0.9945644736289978,0.39841029513464016,0.3763025999069214,0.37000000000000005,medium_low,0.398410615487023,0.3708670735359192
0.25075310468673706,0.4009633958339691,0.48853418231010437,0.2511330246925354,0.9940030574798584,0.40096307138009274,0.3833808898925781,0.38000000000000006,medium_low,0.40096339340358644,0.3773839473724365
0.25245583057403564,0.40313732624053955,0.49345067143440247,0.25288060307502747,0.9933906197547913,0.4031369943273944,0.3894475996494293,0.39000000000000007,medium_low,0.40313731780192136,0.3828382194042206
0.25394943356513977,0.40503937005996704,0.4977036118507385,0.2544139325618744,0.992861807346344,0.40503902432440303,0.3946952819824219,0.4000000000000001,medium_low,0.40503934906336114,0.38755708932876587
0.2553449869155884,0.406812459230423,0.501663088798523,0.2558516263961792,0.9923046231269836,0.406812125322315,0.39959436655044556,0.4100000000000001,medium_low,0.40681245125276266,0.3918989896774292
